                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.75568,                0.54738,                 1.1608,                 0.8846,                 0.8771,                0.91832,                0.69134,                0.98143,                 0.6252,                 1.3816,              6.832e-05,              6.832e-05,              6.832e-05
                     35,                0.75073,                0.53366,                 1.1624,                 0.8871,                0.88377,                0.91536,                0.69887,                0.96118,                0.60823,                 1.3671,              6.733e-05,              6.733e-05,              6.733e-05
                     36,                  0.756,                0.54011,                 1.1623,                0.90854,                0.86202,                0.92458,                 0.6964,                 0.9843,                 0.6064,                 1.3946,              6.634e-05,              6.634e-05,              6.634e-05
                     37,                0.75051,                0.53558,                 1.1583,                0.88932,                0.86987,                0.91778,                0.69322,                 0.9986,                0.63101,                 1.4204,              6.535e-05,              6.535e-05,              6.535e-05
                     38,                0.74769,                0.52693,                 1.1593,                0.91117,                0.85629,                0.91916,                0.69247,                 1.0008,                0.59858,                 1.3899,              6.436e-05,              6.436e-05,              6.436e-05
                     39,                0.74982,                0.52284,                 1.1516,                0.90532,                0.86344,                0.92225,                 0.6962,                0.98892,                0.60891,                 1.4013,              6.337e-05,              6.337e-05,              6.337e-05
                     40,                0.74459,                0.52007,                 1.1496,                0.90389,                0.86768,                0.91509,                 0.6802,                 1.0211,                0.61683,                 1.4362,              6.238e-05,              6.238e-05,              6.238e-05
                     41,                0.73067,                0.50837,                 1.1468,                0.90623,                0.86428,                0.92487,                0.69883,                  1.009,                0.59639,                 1.4095,              6.139e-05,              6.139e-05,              6.139e-05
                     42,                0.72778,                0.50472,                 1.1421,                0.87324,                0.88307,                0.91824,                0.68942,                0.99081,                0.62046,                 1.3944,               6.04e-05,               6.04e-05,               6.04e-05
                     43,                0.72205,                0.50135,                 1.1319,                0.91387,                0.84022,                0.91365,                0.68028,                 0.9955,                0.63488,                 1.4055,              5.941e-05,              5.941e-05,              5.941e-05
                     44,                0.72322,                0.50292,                 1.1404,                0.90648,                0.86078,                0.92041,                 0.6996,                0.99079,                0.61218,                 1.4047,              5.842e-05,              5.842e-05,              5.842e-05
                     45,                0.72017,                0.48812,                 1.1379,                0.90334,                0.87335,                0.91694,                0.68833,                0.99876,                0.61055,                 1.4226,              5.743e-05,              5.743e-05,              5.743e-05
