                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.76555,                0.54296,                 1.1773,                0.89619,                0.86383,                0.91994,                0.70206,                0.96357,                0.58524,                 1.3803,              6.832e-05,              6.832e-05,              6.832e-05
                     35,                0.73488,                 0.5249,                 1.1567,                0.87568,                0.88225,                0.91745,                0.69927,                0.97891,                0.58857,                 1.4024,              6.733e-05,              6.733e-05,              6.733e-05
                     36,                 0.7427,                0.51604,                 1.1646,                0.88079,                0.88022,                 0.9252,                0.69885,                0.99641,                0.59132,                 1.4025,              6.634e-05,              6.634e-05,              6.634e-05
                     37,                0.74063,                 0.5221,                 1.1646,                0.91112,                0.86015,                0.92408,                0.70867,                0.97906,                0.56712,                 1.3936,              6.535e-05,              6.535e-05,              6.535e-05
                     38,                0.73256,                0.51621,                 1.1541,                0.89316,                0.88888,                0.92131,                0.70571,                0.98333,                0.57327,                 1.4037,              6.436e-05,              6.436e-05,              6.436e-05
                     39,                0.73924,                0.51358,                 1.1496,                0.89861,                0.89075,                0.93103,                0.70622,                0.98144,                0.56967,                 1.3751,              6.337e-05,              6.337e-05,              6.337e-05
                     40,                0.73134,                0.49802,                 1.1507,                 0.8988,                0.87928,                0.92648,                0.70459,                0.97661,                0.57512,                 1.3911,              6.238e-05,              6.238e-05,              6.238e-05
                     41,                0.72123,                0.49566,                 1.1437,                0.88641,                0.89658,                0.93063,                0.71468,                0.96567,                0.54887,                 1.3782,              6.139e-05,              6.139e-05,              6.139e-05
                     42,                0.72322,                0.49276,                 1.1495,                0.87664,                0.88224,                0.92273,                0.70112,                0.98029,                 0.5721,                 1.3874,               6.04e-05,               6.04e-05,               6.04e-05
                     43,                0.70817,                0.47738,                 1.1357,                0.86612,                0.87795,                0.91874,                 0.6978,                0.98907,                0.59511,                 1.3914,              5.941e-05,              5.941e-05,              5.941e-05
                     44,                0.70343,                0.48585,                 1.1346,                0.89812,                0.87392,                  0.925,                0.70965,                0.97117,                0.57649,                 1.4065,              5.842e-05,              5.842e-05,              5.842e-05
                     45,                 0.7071,                 0.4763,                 1.1351,                0.87417,                0.88043,                0.91086,                0.68914,                0.99398,                0.61119,                 1.4153,              5.743e-05,              5.743e-05,              5.743e-05
                     46,                0.70568,                0.47905,                 1.1305,                0.87449,                0.88272,                0.91861,                0.69601,                0.98878,                 0.6002,                 1.4005,              5.644e-05,              5.644e-05,              5.644e-05
                     47,                0.70049,                0.48217,                 1.1292,                0.88086,                0.87107,                0.92112,                0.70049,                 0.9899,                0.57511,                 1.4036,              5.545e-05,              5.545e-05,              5.545e-05
                     48,                0.69377,                0.46752,                 1.1265,                0.91016,                0.86516,                 0.9212,                0.70169,                0.97709,                0.58743,                 1.4204,              5.446e-05,              5.446e-05,              5.446e-05
                     49,                0.68873,                0.46994,                 1.1214,                0.89207,                0.86376,                0.91931,                0.69725,                0.99202,                0.57692,                 1.4063,              5.347e-05,              5.347e-05,              5.347e-05
                     50,                0.68959,                0.46624,                 1.1158,                0.89645,                0.86285,                0.91511,                0.69992,                0.99159,                0.58573,                 1.4135,              5.248e-05,              5.248e-05,              5.248e-05
                     51,                0.68893,                0.46147,                  1.121,                0.89329,                0.88276,                0.92065,                0.70357,                0.98706,                0.59301,                 1.4167,              5.149e-05,              5.149e-05,              5.149e-05
                     52,                0.68211,                0.45696,                 1.1188,                0.88573,                0.88539,                0.92566,                0.70571,                 0.9789,                0.56383,                 1.4129,               5.05e-05,               5.05e-05,               5.05e-05
                     53,                0.68055,                0.45381,                 1.1193,                 0.8925,                0.87243,                0.92477,                0.69644,                 1.0102,                0.58926,                 1.4518,              4.951e-05,              4.951e-05,              4.951e-05
                     54,                0.67132,                0.44946,                 1.1109,                0.88694,                0.88351,                0.92151,                0.70544,                0.97717,                 0.5694,                 1.4068,              4.852e-05,              4.852e-05,              4.852e-05
                     55,                0.65897,                0.44315,                 1.1017,                0.89778,                0.88568,                0.92786,                0.70536,                0.98437,                0.56174,                 1.4189,              4.753e-05,              4.753e-05,              4.753e-05
                     56,                0.66383,                0.44053,                 1.1019,                0.91212,                0.85941,                0.91847,                 0.7026,                0.98328,                0.58036,                 1.4066,              4.654e-05,              4.654e-05,              4.654e-05
                     57,                0.66348,                0.44214,                  1.104,                0.91748,                0.86364,                0.92633,                0.71365,                0.96597,                0.57121,                  1.395,              4.555e-05,              4.555e-05,              4.555e-05
                     58,                0.65482,                0.43946,                 1.0998,                 0.8807,                0.89219,                0.92653,                 0.7087,                0.96825,                0.58888,                 1.3967,              4.456e-05,              4.456e-05,              4.456e-05
                     59,                0.66449,                0.44598,                 1.1041,                0.87692,                0.90005,                0.92354,                0.70377,                0.98126,                0.58814,                 1.4132,              4.357e-05,              4.357e-05,              4.357e-05
                     60,                0.65049,                0.43247,                 1.1029,                0.89035,                0.88663,                 0.9249,                0.70304,                0.98378,                0.58087,                  1.434,              4.258e-05,              4.258e-05,              4.258e-05
                     61,                0.65375,                0.43098,                 1.1024,                0.89326,                 0.8712,                0.91923,                0.69301,                 1.0009,                0.59292,                 1.4372,              4.159e-05,              4.159e-05,              4.159e-05
                     62,                0.65264,                0.42682,                  1.096,                0.90162,                0.87486,                0.92266,                0.70256,                0.98346,                0.58411,                 1.4273,               4.06e-05,               4.06e-05,               4.06e-05
                     63,                0.64527,                0.42382,                 1.0998,                0.90249,                0.86916,                0.92686,                0.70752,                 0.9805,                0.57625,                 1.4425,              3.961e-05,              3.961e-05,              3.961e-05
                     64,                0.64591,                0.43319,                 1.0984,                0.88322,                0.88839,                0.92562,                0.70553,                0.98541,                0.58258,                  1.448,              3.862e-05,              3.862e-05,              3.862e-05
                     65,                0.64801,                0.42059,                 1.0978,                0.89855,                0.87814,                0.92552,                0.70453,                0.98411,                0.57535,                 1.4545,              3.763e-05,              3.763e-05,              3.763e-05
                     66,                0.63592,                 0.4172,                 1.0926,                0.89266,                0.88412,                0.92401,                0.70344,                0.99161,                0.57073,                 1.4562,              3.664e-05,              3.664e-05,              3.664e-05
                     67,                0.63773,                0.41764,                 1.0923,                0.90824,                0.86595,                0.92563,                0.70061,                 1.0021,                0.56701,                 1.4694,              3.565e-05,              3.565e-05,              3.565e-05
                     68,                0.63539,                0.41713,                 1.0956,                0.89839,                0.86077,                0.92003,                0.69824,                0.99823,                0.58106,                 1.4663,              3.466e-05,              3.466e-05,              3.466e-05
                     69,                0.63164,                0.41398,                 1.0956,                0.90436,                0.87635,                0.91804,                0.69831,                0.99305,                0.59352,                 1.4595,              3.367e-05,              3.367e-05,              3.367e-05
                     70,                0.62496,                0.41512,                 1.0882,                0.89368,                0.87466,                0.91836,                0.70003,                0.99958,                0.59659,                 1.4756,              3.268e-05,              3.268e-05,              3.268e-05
                     71,                0.62379,                0.40955,                 1.0842,                 0.9077,                0.86715,                0.92241,                0.70708,                 0.9956,                0.59207,                 1.4699,              3.169e-05,              3.169e-05,              3.169e-05
                     72,                0.62148,                 0.4082,                 1.0834,                0.90326,                0.88101,                0.92147,                0.70211,                0.99473,                0.58338,                 1.4681,               3.07e-05,               3.07e-05,               3.07e-05
                     73,                0.61823,                 0.4049,                 1.0881,                0.87897,                0.88317,                0.91968,                0.70413,                0.99246,                0.59464,                 1.4682,              2.971e-05,              2.971e-05,              2.971e-05
                     74,                0.62032,                0.40151,                 1.0803,                0.88258,                0.88709,                0.92353,                0.70864,                 0.9931,                0.57837,                 1.4697,              2.872e-05,              2.872e-05,              2.872e-05
                     75,                0.60952,                0.39901,                 1.0774,                0.88749,                0.89038,                0.92315,                0.70518,                0.99441,                 0.5842,                 1.4705,              2.773e-05,              2.773e-05,              2.773e-05
                     76,                0.61305,                0.40363,                 1.0781,                0.90672,                0.87032,                0.92123,                0.70123,                 1.0004,                0.58446,                 1.4769,              2.674e-05,              2.674e-05,              2.674e-05
