                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.319,                 1.7726,                  1.599,                0.54707,                0.00145,                0.00012,                  3e-05,                 1.6063,                 2.2855,                 2.5505,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.3268,                 1.7633,                  1.607,                0.54707,                0.00145,                0.00012,                  3e-05,                 6.1498,                 430.52,                 11.498,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.3225,                 1.7498,                 1.5883,                0.36365,                0.00175,                  1e-05,                      0,                 4.0926,                 10.424,                  4.827,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.3084,                 1.7242,                 1.5867,                0.00016,                 0.0048,                 0.0001,                  4e-05,                 4.4843,                  7.594,                 5.7087,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.3281,                 1.7606,                 1.6018,                0.00016,                 0.0048,                 0.0001,                  4e-05,                 5.7725,                 194.87,                 8.4521,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.3148,                  1.752,                 1.5865,                0.00015,                0.02836,                0.00012,                  2e-05,                  4.946,                 9.3393,                 6.7202,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.3116,                 1.7339,                 1.5882,                0.00015,                0.02836,                0.00012,                  2e-05,                 5.5812,                 8.5982,                 9.1873,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.3149,                 1.7178,                  1.591,                0.00675,                0.31545,                0.00959,                0.00266,                 3.1748,                 6.7367,                 5.8488,               0.000604,               0.000604,               0.000604
                     43,                 1.3147,                 1.7368,                 1.5949,                0.00675,                0.31545,                0.00959,                0.00266,                   4.64,                 53.897,                 7.3346,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.3037,                 1.7198,                 1.5763,                0.00675,                0.31545,                0.00959,                0.00266,                 5.1658,                 34.123,                 5.6591,              0.0005842,              0.0005842,              0.0005842
                     45,                 1.3086,                 1.7108,                 1.5793,                0.01356,                0.00364,                0.00188,                0.00045,                 2.3259,                 51.188,                  2.491,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.2958,                  1.702,                 1.5725,                0.01356,                0.00364,                0.00188,                0.00045,                  3.261,                 2056.9,                  3.793,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.2887,                 1.7127,                 1.5672,                0.00081,                0.01182,                0.00026,                  7e-05,                 4.8297,                 29.985,                 6.6252,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.3009,                 1.7216,                 1.5716,                0.73553,                0.00909,                0.00603,                0.00138,                 3.7335,                 6.3235,                 5.5769,              0.0005446,              0.0005446,              0.0005446
                     49,                 1.3027,                 1.6889,                 1.5721,                0.18232,                0.02098,                0.00021,                  4e-05,                 3.9243,                 19.652,                  4.633,              0.0005347,              0.0005347,              0.0005347
                     50,                 1.2968,                 1.7138,                 1.5759,                0.45627,                0.00613,                0.00083,                0.00019,                 5.4273,                 5.9127,                 9.9254,              0.0005248,              0.0005248,              0.0005248
                     51,                 1.3014,                 1.6926,                 1.5804,                0.81887,                0.00364,                0.00046,                0.00011,                 4.5154,                 7.9615,                 5.5944,              0.0005149,              0.0005149,              0.0005149
                     52,                 1.2794,                  1.682,                 1.5589,                0.36517,                0.00918,                0.00025,                  4e-05,                  5.152,                 10.742,                 6.0719,               0.000505,               0.000505,               0.000505
                     53,                 1.2896,                 1.6883,                 1.5647,                0.00162,                0.23601,                0.00193,                0.00035,                 4.3821,                 7.0708,                 6.7197,              0.0004951,              0.0004951,              0.0004951
                     54,                 1.2778,                 1.6617,                 1.5526,                0.00434,                0.00087,                  6e-05,                  1e-05,                 4.8649,                 16.556,                 6.5853,              0.0004852,              0.0004852,              0.0004852
                     55,                 1.2778,                 1.6662,                 1.5563,                0.36829,                0.00175,                0.00028,                  6e-05,                 5.7357,                 8.1847,                 9.9595,              0.0004753,              0.0004753,              0.0004753
                     56,                 1.2874,                 1.6539,                 1.5591,                0.00525,                0.05516,                0.00287,                0.00041,                 4.4748,                 7.5343,                 7.4602,              0.0004654,              0.0004654,              0.0004654
                     57,                 1.2781,                 1.6306,                 1.5536,                0.32438,                0.07207,                0.04021,                0.01662,                 2.3408,                 5.2634,                 3.3599,              0.0004555,              0.0004555,              0.0004555
                     58,                 1.2713,                 1.6231,                 1.5526,                0.64679,                0.03706,                0.00358,                0.00132,                 3.3249,                 12.091,                 4.2691,              0.0004456,              0.0004456,              0.0004456
                     59,                 1.2717,                 1.6407,                 1.5527,                 0.0018,                0.02932,                0.00161,                0.00035,                 3.8891,                 6.8482,                   5.19,              0.0004357,              0.0004357,              0.0004357
                     60,                 1.2715,                 1.6194,                  1.551,                0.94743,                0.01121,                0.01315,                0.00411,                 3.4646,                 5.5821,                 3.5189,              0.0004258,              0.0004258,              0.0004258
