                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3965,                 2.0557,                 1.7057,                0.67845,                0.11246,                 0.1272,                0.04859,                 2.5633,                 5.0858,                 3.1784,             0.00068032,             0.00068032,             0.00068032
                     35,                 1.3734,                 2.0535,                  1.699,                0.23785,                0.34328,                 0.2128,                0.09448,                 1.9402,                 2.8712,                 2.6804,             0.00067033,             0.00067033,             0.00067033
                     36,                 1.3828,                 2.0354,                 1.6974,                0.35456,                0.22436,                  0.161,                0.09437,                 1.6038,                 3.5235,                 2.2043,             0.00066034,             0.00066034,             0.00066034
                     37,                 1.3678,                 2.0201,                 1.6832,                0.21592,                0.41607,                0.21768,                0.11378,                 1.7859,                 2.7269,                 2.3083,             0.00065035,             0.00065035,             0.00065035
                     38,                 1.3729,                  2.004,                 1.6907,                0.19638,                0.29745,                0.22127,                0.12779,                 1.7218,                 3.4657,                 2.4177,             0.00064036,             0.00064036,             0.00064036
                     39,                 1.3686,                 1.9789,                 1.6846,                0.34195,                0.38689,                0.27458,                0.14483,                 1.7025,                 3.0033,                 2.2117,             0.00063037,             0.00063037,             0.00063037
                     40,                 1.3627,                 1.9798,                 1.6813,                0.12957,                0.53385,                0.16856,                0.08685,                 2.0626,                 4.3189,                 2.8923,             0.00062038,             0.00062038,             0.00062038
                     41,                 1.3481,                 1.9272,                 1.6712,                0.44323,                0.12098,                0.08944,                0.05373,                 1.8702,                 5.4897,                 2.3187,             0.00061039,             0.00061039,             0.00061039
                     42,                 1.3589,                 1.9466,                 1.6789,                0.07636,                0.26788,                0.09731,                0.03993,                 2.4938,                 4.8606,                 2.9029,              0.0006004,              0.0006004,              0.0006004
                     43,                 1.3434,                 1.9277,                 1.6646,                0.54976,                0.37583,                0.37374,                0.21923,                  1.495,                 2.6549,                 2.0427,             0.00059041,             0.00059041,             0.00059041
                     44,                 1.3282,                 1.9041,                 1.6554,                0.35714,                0.29779,                0.27529,                0.15785,                 1.5523,                 2.7755,                 2.0538,             0.00058042,             0.00058042,             0.00058042
                     45,                 1.3292,                 1.8935,                 1.6622,                0.35529,                0.49079,                0.40135,                0.22816,                 1.5316,                 2.2212,                 2.1668,             0.00057043,             0.00057043,             0.00057043
                     46,                 1.3478,                 1.9049,                 1.6675,                  0.379,                0.36781,                0.22807,                0.12738,                 1.6924,                 3.2961,                 2.2792,             0.00056044,             0.00056044,             0.00056044
                     47,                 1.3346,                  1.864,                 1.6496,                0.34658,                0.44518,                0.36142,                0.19729,                 1.6019,                  2.353,                  2.139,             0.00055045,             0.00055045,             0.00055045
                     48,                 1.3259,                 1.8431,                 1.6519,                0.27881,                0.48271,                0.34677,                0.19569,                 1.5225,                 2.5053,                  2.176,             0.00054046,             0.00054046,             0.00054046
                     49,                 1.3241,                 1.8381,                 1.6513,                0.20166,                 0.2042,                0.12275,                0.06321,                  2.295,                 4.7876,                 2.7041,             0.00053047,             0.00053047,             0.00053047
                     50,                 1.3281,                 1.8282,                 1.6477,                 0.7405,                0.10808,                0.13799,                0.07637,                 1.8932,                 4.8475,                 2.3954,             0.00052048,             0.00052048,             0.00052048
                     51,                 1.3291,                 1.8387,                 1.6478,                 0.2756,                0.43008,                0.30923,                0.17671,                 1.5015,                 2.4283,                 2.0534,             0.00051049,             0.00051049,             0.00051049
                     52,                  1.314,                 1.8264,                 1.6359,                0.43942,                0.41957,                0.40586,                0.23321,                 1.4907,                 2.5536,                 2.0228,              0.0005005,              0.0005005,              0.0005005
                     53,                 1.3043,                  1.784,                 1.6311,                0.40557,                0.31179,                0.23394,                0.12772,                 1.7086,                 3.1972,                 2.4021,             0.00049051,             0.00049051,             0.00049051
                     54,                 1.2967,                 1.7787,                 1.6189,                  0.385,                0.44884,                0.43531,                0.23362,                 1.7685,                  2.077,                 2.4611,             0.00048052,             0.00048052,             0.00048052
                     55,                 1.2982,                 1.7965,                  1.622,                 0.4096,                0.41711,                0.42247,                0.23285,                 1.5821,                 2.1405,                  2.071,             0.00047053,             0.00047053,             0.00047053
                     56,                 1.2957,                 1.7581,                 1.6175,                0.34199,                0.39273,                0.33965,                0.18453,                 1.6901,                 2.6181,                 2.3441,             0.00046054,             0.00046054,             0.00046054
                     57,                 1.2942,                 1.7602,                 1.6192,                0.35261,                0.34378,                0.30889,                0.18289,                 1.4756,                 2.4804,                 2.0112,             0.00045055,             0.00045055,             0.00045055
                     58,                 1.2935,                  1.767,                 1.6143,                0.42569,                0.50367,                0.44848,                0.26317,                 1.4987,                  1.891,                 2.0489,             0.00044056,             0.00044056,             0.00044056
                     59,                 1.3111,                 1.7695,                  1.628,                0.25103,                0.37506,                0.28244,                0.16122,                 1.5148,                 2.9704,                 2.1352,             0.00043057,             0.00043057,             0.00043057
                     60,                 1.2854,                 1.7361,                 1.6172,                0.27484,                0.33593,                0.25433,                0.14258,                 1.6049,                 2.9693,                 2.1343,             0.00042058,             0.00042058,             0.00042058
                     61,                 1.2851,                 1.7114,                 1.6091,                 0.5078,                0.54719,                0.52449,                0.29716,                 1.4539,                  1.878,                 2.0488,             0.00041059,             0.00041059,             0.00041059
                     62,                 1.2809,                 1.7247,                  1.604,                0.11696,                0.67725,                0.26553,                0.15174,                 1.6244,                 3.3586,                 2.1592,              0.0004006,              0.0004006,              0.0004006
                     63,                  1.279,                 1.7025,                 1.6061,                0.58828,                0.45038,                0.48813,                 0.2895,                  1.438,                 1.8882,                  1.947,             0.00039061,             0.00039061,             0.00039061
                     64,                  1.276,                 1.6981,                 1.6067,                0.47219,                0.49195,                0.48923,                0.29952,                 1.3988,                 1.9981,                 1.9252,             0.00038062,             0.00038062,             0.00038062
                     65,                 1.2838,                  1.686,                 1.6017,                0.43826,                0.49865,                0.47531,                0.28058,                 1.4811,                 1.9091,                 1.9526,             0.00037063,             0.00037063,             0.00037063
                     66,                 1.2717,                 1.6982,                 1.5972,                  0.355,                0.48835,                0.39629,                0.23715,                 1.4327,                 2.2408,                 1.9696,             0.00036064,             0.00036064,             0.00036064
                     67,                 1.2723,                 1.6865,                  1.599,                0.49517,                0.39824,                0.43119,                0.25084,                 1.4668,                 2.0748,                 2.0744,             0.00035065,             0.00035065,             0.00035065
                     68,                 1.2698,                 1.6995,                 1.5918,                0.41973,                0.37213,                0.38512,                 0.2216,                 1.5277,                 2.5231,                 2.0623,             0.00034066,             0.00034066,             0.00034066
                     69,                 1.2577,                 1.6347,                 1.5847,                0.45703,                 0.5748,                0.52984,                0.32226,                 1.3683,                 1.7311,                 1.9004,             0.00033067,             0.00033067,             0.00033067
                     70,                 1.2469,                 1.6427,                 1.5844,                0.34411,                0.37444,                0.33038,                0.18166,                 1.7994,                 2.9098,                 2.2153,             0.00032068,             0.00032068,             0.00032068
                     71,                  1.253,                 1.6505,                 1.5804,                0.57549,                0.56216,                0.58944,                 0.3698,                 1.3212,                 1.5305,                 1.8602,             0.00031069,             0.00031069,             0.00031069
                     72,                 1.2582,                 1.6416,                 1.5803,                0.53322,                0.56782,                0.57409,                0.35743,                 1.3539,                 1.5628,                 1.9169,              0.0003007,              0.0003007,              0.0003007
                     73,                 1.2474,                 1.6393,                 1.5776,                0.47321,                0.49681,                0.48452,                0.29304,                 1.4006,                 2.0012,                 1.9429,             0.00029071,             0.00029071,             0.00029071
                     74,                 1.2468,                 1.6232,                 1.5741,                0.57334,                0.54999,                0.56044,                0.32723,                 1.4237,                 1.7621,                 1.8935,             0.00028072,             0.00028072,             0.00028072
                     75,                 1.2382,                 1.6057,                 1.5749,                0.58192,                0.57749,                 0.6134,                0.37197,                 1.3833,                 1.5895,                 1.9185,             0.00027073,             0.00027073,             0.00027073
                     76,                 1.2454,                 1.6085,                 1.5758,                0.45703,                0.46586,                0.43365,                0.26315,                 1.4551,                 2.9689,                 1.9363,             0.00026074,             0.00026074,             0.00026074
                     77,                 1.2444,                 1.6184,                  1.567,                0.51872,                0.59548,                0.57608,                0.35696,                 1.3523,                 1.7012,                 1.9187,             0.00025075,             0.00025075,             0.00025075
                     78,                  1.251,                    1.6,                 1.5781,                0.54729,                0.57894,                 0.5878,                0.35727,                 1.3333,                 1.6201,                 1.8141,             0.00024076,             0.00024076,             0.00024076
                     79,                 1.2286,                 1.6034,                 1.5654,                0.60371,                0.58556,                0.64052,                0.41191,                 1.2874,                 1.4269,                 1.8108,             0.00023077,             0.00023077,             0.00023077
                     80,                  1.222,                 1.5694,                 1.5574,                0.51291,                 0.5785,                0.57748,                0.35818,                 1.3706,                 1.6327,                 1.8658,             0.00022078,             0.00022078,             0.00022078
                     81,                 1.1991,                 1.5563,                 1.5396,                0.51596,                0.52102,                0.55271,                0.34798,                 1.3008,                 1.7017,                 1.8538,             0.00021079,             0.00021079,             0.00021079
                     82,                 1.2185,                 1.5634,                 1.5622,                0.56786,                0.60346,                0.63511,                 0.4029,                 1.2974,                 1.3966,                 1.7953,              0.0002008,              0.0002008,              0.0002008
                     83,                 1.2151,                 1.5505,                  1.555,                0.56058,                0.58654,                0.59419,                0.35919,                 1.3627,                 1.5538,                 1.9103,             0.00019081,             0.00019081,             0.00019081
                     84,                 1.2151,                 1.5363,                  1.554,                0.59477,                0.58729,                 0.6084,                0.39015,                 1.3324,                 1.5729,                 1.8227,             0.00018082,             0.00018082,             0.00018082
                     85,                 1.2127,                  1.525,                 1.5411,                0.49729,                0.61528,                0.58141,                0.37303,                 1.2918,                 1.5744,                 1.7913,             0.00017083,             0.00017083,             0.00017083
                     86,                 1.1877,                 1.5032,                 1.5289,                0.57519,                0.54147,                0.58806,                0.36915,                 1.3163,                 1.5671,                 1.8317,             0.00016084,             0.00016084,             0.00016084
                     87,                 1.1977,                 1.5137,                 1.5411,                0.54848,                0.64683,                0.63806,                0.40622,                 1.3025,                 1.4292,                 1.8464,             0.00015085,             0.00015085,             0.00015085
                     88,                  1.197,                 1.5179,                 1.5302,                 0.5405,                0.64712,                0.63455,                0.40357,                  1.267,                 1.4142,                 1.7754,             0.00014086,             0.00014086,             0.00014086
                     89,                 1.1926,                 1.4965,                 1.5361,                0.64065,                0.60401,                  0.657,                0.40683,                 1.3242,                 1.3939,                 1.8235,             0.00013087,             0.00013087,             0.00013087
                     90,                 1.1929,                 1.5016,                 1.5342,                0.57807,                 0.6015,                0.62558,                0.38808,                 1.2635,                 1.4799,                 1.7682,             0.00012088,             0.00012088,             0.00012088
                     91,                  1.193,                 1.4339,                  1.687,                0.64646,                0.64396,                0.68046,                0.43617,                  1.246,                 1.3382,                  1.774,             0.00011089,             0.00011089,             0.00011089
                     92,                 1.1599,                 1.3571,                 1.6411,                0.61938,                0.63429,                0.66697,                0.43219,                 1.2773,                 1.3227,                 1.7807,              0.0001009,              0.0001009,              0.0001009
                     93,                 1.1538,                 1.3579,                 1.6407,                0.62144,                0.69197,                0.70411,                0.45921,                 1.2296,                 1.2349,                 1.7296,              9.091e-05,              9.091e-05,              9.091e-05
                     94,                 1.1461,                 1.3139,                 1.6278,                0.66579,                0.66835,                0.71229,                 0.4609,                  1.221,                  1.255,                 1.7242,              8.092e-05,              8.092e-05,              8.092e-05
                     95,                 1.1439,                 1.3069,                 1.6253,                 0.6241,                0.64907,                0.68245,                0.44494,                 1.2256,                 1.2771,                 1.7506,              7.093e-05,              7.093e-05,              7.093e-05
                     96,                 1.1344,                 1.2815,                 1.6172,                0.69235,                0.65769,                0.71183,                 0.4657,                 1.2209,                 1.2179,                 1.7349,              6.094e-05,              6.094e-05,              6.094e-05
                     97,                 1.1286,                 1.2795,                  1.619,                0.67454,                0.64997,                0.70931,                 0.4674,                 1.2243,                   1.21,                 1.7299,              5.095e-05,              5.095e-05,              5.095e-05
                     98,                 1.1391,                 1.2718,                 1.6236,                0.70193,                0.66005,                0.72327,                0.47577,                 1.2092,                 1.2103,                 1.7029,              4.096e-05,              4.096e-05,              4.096e-05
                     99,                 1.1311,                 1.2544,                 1.6102,                   0.65,                0.67115,                0.70743,                0.46907,                 1.2058,                 1.1884,                 1.7099,              3.097e-05,              3.097e-05,              3.097e-05
                    100,                 1.1162,                 1.2662,                  1.614,                0.68979,                0.67694,                0.71869,                0.47774,                 1.1987,                 1.2005,                 1.6969,              2.098e-05,              2.098e-05,              2.098e-05
