                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2314,                  1.666,                 1.5377,                0.49804,                0.60422,                0.59124,                0.37375,                 1.3389,                 1.6385,                 1.8221,               0.006733,               0.006733,               0.006733
                     36,                 1.2276,                 1.6503,                 1.5341,                0.41543,                 0.5331,                0.49504,                0.30113,                 1.3172,                 1.8778,                 1.7243,               0.006634,               0.006634,               0.006634
                     37,                 1.2234,                 1.6546,                 1.5309,                0.51732,                0.60446,                0.58186,                0.37089,                 1.2776,                 1.7685,                 1.6883,               0.006535,               0.006535,               0.006535
                     38,                 1.2172,                 1.6556,                 1.5355,                 0.5384,                0.52294,                0.54943,                0.35804,                 1.2579,                 1.6595,                 1.6994,               0.006436,               0.006436,               0.006436
                     39,                 1.2175,                 1.6136,                 1.5204,                 0.5209,                0.55171,                0.58472,                0.38137,                 1.2175,                 1.7185,                 1.6482,               0.006337,               0.006337,               0.006337
                     40,                 1.2256,                  1.601,                 1.5278,                0.50182,                0.54524,                0.55954,                0.36886,                 1.2444,                 1.7353,                 1.7069,               0.006238,               0.006238,               0.006238
                     41,                 1.2074,                 1.5941,                 1.5182,                0.62207,                0.55868,                0.63201,                0.40836,                 1.2734,                 1.5296,                 1.6638,               0.006139,               0.006139,               0.006139
                     42,                 1.2197,                 1.5822,                 1.5233,                0.71714,                0.51432,                0.59146,                0.37651,                 1.2548,                 1.6582,                 1.6591,                0.00604,                0.00604,                0.00604
                     43,                 1.1922,                 1.5871,                  1.511,                0.57236,                0.53468,                0.60046,                0.39169,                 1.2131,                 1.5559,                 1.6105,               0.005941,               0.005941,               0.005941
                     44,                 1.1914,                  1.552,                 1.5094,                0.56597,                0.61817,                0.63843,                0.41881,                  1.213,                 1.4777,                 1.6433,               0.005842,               0.005842,               0.005842
                     45,                 1.2012,                 1.5235,                 1.5105,                0.57841,                0.60188,                0.63014,                 0.4053,                 1.2817,                  1.543,                 1.6897,               0.005743,               0.005743,               0.005743
                     46,                 1.1986,                 1.5354,                 1.5076,                 0.5798,                0.58188,                0.58532,                0.38472,                 1.2235,                 1.5881,                 1.6283,               0.005644,               0.005644,               0.005644
                     47,                 1.2006,                 1.5256,                 1.5052,                0.64418,                0.45973,                  0.521,                0.34283,                 1.2701,                  1.767,                 1.7304,               0.005545,               0.005545,               0.005545
                     48,                 1.1809,                 1.5089,                 1.4975,                0.63589,                0.63712,                0.68792,                0.44501,                  1.236,                 1.4414,                 1.6341,               0.005446,               0.005446,               0.005446
                     49,                 1.1833,                 1.5046,                 1.4931,                0.67928,                0.62321,                0.69408,                0.46678,                 1.1417,                 1.4267,                 1.5768,               0.005347,               0.005347,               0.005347
                     50,                 1.1878,                 1.4917,                 1.4948,                0.60724,                0.61489,                0.66314,                0.44024,                 1.2184,                 1.3873,                 1.6438,               0.005248,               0.005248,               0.005248
                     51,                 1.1797,                 1.4678,                  1.493,                0.60748,                0.56945,                0.63876,                0.43306,                 1.1789,                  1.451,                 1.6177,               0.005149,               0.005149,               0.005149
                     52,                 1.1689,                 1.4687,                 1.4808,                0.70727,                0.58581,                 0.6788,                0.45408,                 1.1652,                  1.416,                 1.5814,                0.00505,                0.00505,                0.00505
                     53,                 1.1683,                 1.4522,                 1.4853,                0.66952,                0.54729,                0.59608,                 0.3851,                 1.2748,                 1.7865,                 1.7446,               0.004951,               0.004951,               0.004951
                     54,                 1.1574,                 1.4202,                 1.4723,                0.69583,                0.66307,                0.71965,                0.47881,                 1.1995,                 1.2617,                 1.5937,               0.004852,               0.004852,               0.004852
                     55,                 1.1466,                 1.4415,                 1.4643,                0.66559,                0.62121,                0.70524,                0.46873,                 1.1566,                 1.3721,                 1.6021,               0.004753,               0.004753,               0.004753
                     56,                 1.1494,                 1.4229,                 1.4644,                0.64992,                0.63305,                0.70841,                 0.4593,                 1.2456,                 1.3406,                 1.6287,               0.004654,               0.004654,               0.004654
                     57,                 1.1491,                 1.4029,                 1.4731,                0.62951,                0.69765,                0.73182,                0.50268,                 1.1386,                 1.2397,                 1.5539,               0.004555,               0.004555,               0.004555
                     58,                 1.1386,                 1.4075,                 1.4639,                0.76346,                0.62063,                0.73594,                 0.4952,                 1.1828,                  1.214,                  1.575,               0.004456,               0.004456,               0.004456
                     59,                 1.1525,                  1.397,                 1.4617,                0.73947,                0.69477,                0.76735,                0.52168,                 1.1627,                 1.1602,                 1.5821,               0.004357,               0.004357,               0.004357
                     60,                 1.1368,                 1.3638,                  1.463,                0.68705,                0.62985,                0.71205,                0.49201,                 1.1496,                 1.2835,                 1.5698,               0.004258,               0.004258,               0.004258
                     61,                  1.134,                 1.3558,                 1.4562,                0.66429,                0.56544,                0.68887,                0.46808,                 1.1335,                 1.3496,                 1.5677,               0.004159,               0.004159,               0.004159
                     62,                 1.1209,                 1.3341,                 1.4348,                0.71873,                0.69294,                0.76712,                0.53002,                 1.1128,                 1.1682,                 1.5312,                0.00406,                0.00406,                0.00406
                     63,                 1.1283,                 1.3257,                 1.4503,                0.76554,                 0.6817,                0.78037,                0.53137,                  1.155,                 1.1335,                 1.5431,               0.003961,               0.003961,               0.003961
                     64,                 1.1316,                 1.3413,                 1.4452,                0.69974,                0.60985,                0.71092,                0.47517,                   1.18,                 1.2852,                 1.5925,               0.003862,               0.003862,               0.003862
                     65,                 1.1401,                 1.3411,                 1.4516,                0.70433,                0.66679,                0.75759,                0.51211,                 1.1472,                 1.1888,                 1.5533,               0.003763,               0.003763,               0.003763
                     66,                 1.1118,                 1.3156,                 1.4305,                0.71013,                0.71436,                 0.7685,                0.51904,                 1.1735,                 1.0784,                 1.5555,               0.003664,               0.003664,               0.003664
                     67,                 1.1237,                 1.3037,                 1.4395,                0.60898,                0.71476,                0.72826,                0.50072,                 1.1364,                 1.2127,                 1.5453,               0.003565,               0.003565,               0.003565
                     68,                 1.1273,                 1.3307,                 1.4417,                0.71292,                0.72873,                 0.7853,                 0.5478,                 1.1259,                 1.0957,                 1.5205,               0.003466,               0.003466,               0.003466
                     69,                 1.1089,                 1.2759,                  1.427,                0.71855,                0.72339,                0.78762,                0.53843,                  1.119,                 1.0905,                 1.5282,               0.003367,               0.003367,               0.003367
                     70,                 1.1078,                 1.2752,                 1.4307,                0.76817,                0.71355,                0.79685,                0.55729,                 1.1134,                 1.0625,                 1.5073,               0.003268,               0.003268,               0.003268
                     71,                  1.105,                 1.2793,                 1.4288,                0.71851,                 0.6588,                 0.7494,                0.50664,                  1.143,                 1.2423,                 1.5547,               0.003169,               0.003169,               0.003169
                     72,                 1.1042,                 1.2511,                 1.4193,                0.73912,                0.68138,                0.77507,                 0.5461,                 1.1204,                 1.0957,                 1.5412,                0.00307,                0.00307,                0.00307
                     73,                  1.085,                 1.2487,                 1.4125,                0.72621,                0.73112,                0.80273,                0.55277,                 1.1189,                 1.0462,                 1.5295,               0.002971,               0.002971,               0.002971
                     74,                 1.0952,                 1.2398,                 1.4131,                0.71277,                0.71541,                0.77447,                0.53698,                 1.1081,                 1.0934,                 1.4975,               0.002872,               0.002872,               0.002872
                     75,                 1.0765,                 1.2263,                 1.4099,                0.78927,                0.71059,                0.81407,                0.56779,                 1.1077,                 1.0531,                 1.5157,               0.002773,               0.002773,               0.002773
                     76,                 1.0774,                 1.2248,                 1.4092,                0.78337,                0.70369,                0.80507,                0.56586,                 1.1059,                 1.0387,                 1.4954,               0.002674,               0.002674,               0.002674
                     77,                 1.0878,                 1.2233,                 1.4115,                0.77764,                0.72092,                0.80486,                0.56848,                 1.1005,                0.98312,                 1.4955,               0.002575,               0.002575,               0.002575
                     78,                   1.08,                 1.2152,                 1.4064,                0.71552,                0.66954,                0.75066,                0.51984,                 1.1343,                  1.141,                 1.5227,               0.002476,               0.002476,               0.002476
                     79,                 1.0695,                   1.19,                 1.4009,                 0.7747,                 0.7149,                0.80688,                0.56278,                 1.1136,                0.99539,                 1.4935,               0.002377,               0.002377,               0.002377
                     80,                 1.0692,                 1.1798,                 1.3921,                0.75826,                0.71827,                0.78962,                0.55626,                 1.1016,                 1.0646,                 1.4906,               0.002278,               0.002278,               0.002278
                     81,                 1.0592,                 1.1828,                 1.3904,                 0.7694,                0.74987,                0.81469,                0.57592,                 1.0933,                0.99386,                 1.4926,               0.002179,               0.002179,               0.002179
                     82,                 1.0692,                 1.1659,                 1.3992,                0.72879,                0.76265,                0.81519,                0.57175,                 1.1022,                0.98819,                 1.4819,                0.00208,                0.00208,                0.00208
                     83,                 1.0585,                 1.1531,                 1.3951,                0.76646,                0.75743,                0.82869,                0.57746,                    1.1,                0.94932,                 1.4815,               0.001981,               0.001981,               0.001981
