                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1483,                 2.4067,                 1.5589,                0.47227,                0.61949,                0.55711,                0.38392,                 1.1029,                 1.7637,                 1.4915,               0.066737,             3.3296e-05,             3.3296e-05
                      2,                  1.073,                 1.7367,                 1.4765,                0.63879,                0.70883,                0.71593,                0.50192,                 1.0918,                 1.3758,                 1.4541,               0.033431,             6.0033e-05,             6.0033e-05
                      3,                 1.0344,                 1.5304,                 1.4388,                0.73326,                0.67699,                0.75622,                0.53207,                 1.0528,                 1.1915,                 1.4118,             0.00011737,              8.017e-05,              8.017e-05
                      4,                 1.0053,                 1.3678,                 1.4025,                0.77031,                0.69266,                0.78676,                0.56149,                 1.0386,                 1.1422,                 1.3973,               7.03e-05,               7.03e-05,               7.03e-05
                      5,                0.98796,                 1.2921,                 1.3811,                0.75973,                0.75486,                0.81103,                0.57756,                 1.0386,                 1.0628,                 1.3957,               7.03e-05,               7.03e-05,               7.03e-05
                      6,                0.97551,                  1.223,                  1.379,                 0.7732,                0.74326,                0.80444,                0.57736,                 1.0349,                 1.0385,                 1.3786,               6.04e-05,               6.04e-05,               6.04e-05
                      7,                0.95212,                 1.1571,                 1.3648,                0.78502,                0.75729,                0.82688,                0.59205,                 1.0143,                0.99713,                 1.3604,               5.05e-05,               5.05e-05,               5.05e-05
                      8,                 0.9548,                 1.1267,                 1.3602,                0.81907,                0.75948,                0.83364,                0.61035,                0.99938,                0.96702,                 1.3462,               4.06e-05,               4.06e-05,               4.06e-05
                      9,                0.93589,                 1.0901,                 1.3393,                0.77851,                0.79137,                0.83624,                0.61286,                 1.0006,                0.94623,                 1.3511,               3.07e-05,               3.07e-05,               3.07e-05
                     10,                0.92455,                 1.0658,                 1.3299,                0.80132,                0.75587,                0.83568,                0.60748,                 1.0043,                0.95084,                 1.3453,               2.08e-05,               2.08e-05,               2.08e-05
