                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1179,                 2.3608,                 1.5118,                 0.6592,                0.56036,                0.61521,                 0.4263,                 1.1007,                 1.5159,                 1.4608,               0.066774,             3.3259e-05,             3.3259e-05
                      2,                 1.0433,                 1.5448,                  1.426,                0.83006,                0.67793,                0.77112,                0.55052,                 1.0582,                 1.2209,                 1.4013,               0.033468,                  6e-05,                  6e-05
                      3,                 1.0098,                 1.3355,                 1.3832,                0.76268,                0.75685,                0.80833,                0.58642,                 1.0288,                 1.0546,                 1.3688,             0.00015455,              8.014e-05,              8.014e-05
                      4,                0.97696,                 1.1974,                 1.3538,                0.82375,                0.73947,                0.82577,                0.60139,                 1.0073,                  1.019,                 1.3432,               7.03e-05,               7.03e-05,               7.03e-05
                      5,                0.96489,                 1.1333,                 1.3411,                0.80081,                0.76593,                0.84053,                0.60694,                 1.0216,                0.97921,                 1.3582,               7.03e-05,               7.03e-05,               7.03e-05
                      6,                0.94082,                 1.0838,                 1.3212,                0.76861,                 0.7922,                0.84086,                0.61606,                 1.0014,                0.93996,                 1.3358,               6.04e-05,               6.04e-05,               6.04e-05
                      7,                0.92633,                 1.0172,                 1.3195,                0.79821,                0.78509,                0.85406,                0.62895,                0.98157,                0.90438,                  1.321,               5.05e-05,               5.05e-05,               5.05e-05
                      8,                0.92454,                0.98606,                 1.3004,                0.79754,                0.80396,                 0.8515,                0.63032,                0.99005,                  0.894,                 1.3189,               4.06e-05,               4.06e-05,               4.06e-05
                      9,                0.91171,                0.95282,                 1.2917,                0.79329,                0.82353,                0.86354,                0.63897,                0.98064,                0.86806,                 1.3139,               3.07e-05,               3.07e-05,               3.07e-05
                     10,                0.90522,                0.94424,                 1.2918,                0.81891,                0.80048,                0.86132,                0.63745,                0.98013,                  0.871,                 1.3071,               2.08e-05,               2.08e-05,               2.08e-05
