                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0417,                 1.9092,                 1.4582,                0.73697,                0.67722,                0.75679,                 0.5413,                 1.0146,                 1.2224,                 1.4029,               0.066849,             3.3185e-05,             3.3185e-05
                      2,                0.95511,                 1.1407,                 1.3645,                0.82404,                0.75126,                0.84008,                0.61357,                0.98847,                0.94805,                 1.3672,               0.033542,             5.9933e-05,             5.9933e-05
                      3,                0.92392,                0.96733,                 1.3182,                0.85467,                0.79668,                0.88787,                0.66071,                0.96382,                0.80115,                  1.328,             0.00022889,             8.0081e-05,             8.0081e-05
                      4,                 0.8947,                0.85287,                  1.288,                0.79847,                0.85404,                0.88156,                0.65571,                0.97713,                0.81131,                 1.3224,               7.03e-05,               7.03e-05,               7.03e-05
                      5,                0.86703,                0.79034,                 1.2609,                0.86586,                 0.7935,                0.89434,                0.66581,                0.95808,                0.77524,                 1.3065,               7.03e-05,               7.03e-05,               7.03e-05
                      6,                0.84879,                0.72372,                 1.2469,                0.83928,                0.83593,                0.89377,                0.66927,                0.94411,                0.73805,                 1.3095,               6.04e-05,               6.04e-05,               6.04e-05
                      7,                0.82674,                 0.6741,                 1.2409,                0.85478,                 0.8112,                0.89376,                 0.6788,                0.93699,                0.73524,                 1.3059,               5.05e-05,               5.05e-05,               5.05e-05
                      8,                0.82046,                0.65475,                 1.2328,                0.83529,                0.85102,                0.90397,                0.67982,                0.94502,                0.69954,                 1.3059,               4.06e-05,               4.06e-05,               4.06e-05
                      9,                0.80292,                0.60975,                 1.2141,                0.86497,                0.86053,                0.90958,                0.68862,                0.94403,                0.66962,                 1.2932,               3.07e-05,               3.07e-05,               3.07e-05
                     10,                0.78865,                0.59147,                  1.201,                0.86128,                0.83888,                 0.9091,                0.68967,                0.93589,                 0.6707,                 1.2906,               2.08e-05,               2.08e-05,               2.08e-05
