                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0857,                 2.1001,                 1.5227,                0.74978,                  0.618,                0.71644,                0.50813,                 1.0511,                 1.3559,                 1.4447,               0.066737,             3.3296e-05,             3.3296e-05
                      2,                 1.0025,                 1.4397,                 1.4403,                0.80753,                0.71699,                0.81228,                0.58949,                 1.0212,                 1.0845,                 1.4137,               0.033431,             6.0033e-05,             6.0033e-05
                      3,                0.96853,                 1.2187,                 1.3953,                0.79034,                0.77589,                0.83622,                0.60893,                0.99913,                 0.9578,                 1.3946,             0.00011737,              8.017e-05,              8.017e-05
                      4,                0.93838,                 1.0656,                 1.3676,                0.78645,                0.75902,                 0.8457,                 0.6223,                 0.9975,                 0.9383,                 1.3828,               7.03e-05,               7.03e-05,               7.03e-05
                      5,                 0.9142,                0.99337,                 1.3433,                0.79456,                0.80409,                0.85946,                0.63211,                0.98725,                0.85372,                 1.3856,               7.03e-05,               7.03e-05,               7.03e-05
                      6,                0.89384,                0.92423,                 1.3308,                0.83294,                0.79451,                0.85883,                0.63084,                0.98839,                0.82149,                 1.3833,               6.04e-05,               6.04e-05,               6.04e-05
                      7,                0.88373,                0.85715,                 1.3214,                0.82357,                0.80233,                0.85858,                0.63923,                0.97875,                0.79563,                 1.3754,               5.05e-05,               5.05e-05,               5.05e-05
                      8,                 0.8633,                0.82883,                 1.3014,                0.80723,                0.83699,                 0.8745,                0.65167,                0.96077,                 0.7599,                 1.3452,               4.06e-05,               4.06e-05,               4.06e-05
                      9,                 0.8458,                0.77434,                 1.2824,                0.82341,                0.82238,                0.87719,                0.64781,                0.97229,                 0.7578,                 1.3552,               3.07e-05,               3.07e-05,               3.07e-05
                     10,                0.83771,                0.74074,                 1.2792,                0.83033,                0.82433,                 0.8745,                 0.6469,                0.96515,                0.75244,                 1.3583,               2.08e-05,               2.08e-05,               2.08e-05
