                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4234,                 3.7964,                 2.7629,                      0,                      0,                      0,                      0,                 3.3834,                 10.062,                 4.8796,               0.067295,             0.00033036,             0.00033036
                      2,                 2.0627,                 3.3554,                 2.2521,                0.55144,                0.02916,                0.00578,                0.00147,                 3.0032,                 6.6287,                 5.6929,               0.034288,             0.00065712,             0.00065712
                      3,                 1.9688,                 3.2045,                 2.1895,                 0.8215,                0.01164,                0.00088,                0.00019,                 4.9099,                 9.0264,                 8.0199,              0.0012749,             0.00097728,             0.00097728
                      4,                 1.9367,                 3.2061,                 2.1734,                0.03866,                0.02512,                0.02188,                0.00731,                 3.9791,                 6.4284,                 5.1036,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.8778,                 3.0795,                 2.1261,                0.00244,                0.11919,                 0.0022,                0.00049,                 3.2238,                 6.3179,                 4.5185,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.8172,                 3.0486,                 2.0757,                 0.1829,                0.00145,                0.00013,                  3e-05,                 4.8278,                 15.451,                 7.2271,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.7985,                 2.9743,                 2.0498,                0.00629,                0.45673,                0.01132,                0.00259,                 2.9453,                 4.3307,                 3.8099,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.7569,                  2.916,                 2.0202,                0.73445,                0.01645,                 0.0028,                0.00094,                 2.7893,                 11.793,                 3.4209,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.7376,                 2.8739,                 2.0055,                0.01029,                0.41638,                0.01253,                0.00286,                 2.9372,                 26.413,                 5.5363,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.7109,                 2.8151,                 1.9792,                0.00061,                0.11784,                0.00085,                0.00029,                 2.7631,                 5.2549,                  3.661,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.6836,                 2.7892,                 1.9513,                0.00061,                0.11784,                0.00085,                0.00029,                 3.4338,                 9.1031,                 7.8704,              0.0009109,              0.0009109,              0.0009109
                     12,                  1.655,                 2.7558,                 1.9307,                0.00025,                0.00145,                  5e-05,                  1e-05,                 3.7263,                 10.922,                 4.5636,               0.000901,               0.000901,               0.000901
                     13,                 1.6491,                 2.7075,                 1.9206,                  2e-05,                0.02109,                  1e-05,                      0,                 3.7642,                 14.265,                 4.8563,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.6347,                 2.6884,                 1.9107,                0.00353,                0.19132,                0.00424,                0.00085,                 3.2225,                 6.0996,                 4.9516,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.6388,                 2.6365,                  1.901,                0.18278,                0.03739,                0.00058,                0.00018,                  3.027,                 16.447,                 3.6709,              0.0008713,              0.0008713,              0.0008713
                     16,                   1.61,                  2.604,                 1.8873,                  6e-05,                0.02634,                  4e-05,                  1e-05,                 4.7317,                 7.9369,                   6.38,              0.0008614,              0.0008614,              0.0008614
                     17,                  1.612,                  2.589,                 1.8769,                  1e-05,                0.00291,                      0,                      0,                  5.453,                 7.2532,                 9.4949,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.5988,                 2.5957,                 1.8696,                0.11386,                0.00919,                0.00844,                0.00231,                 3.5941,                 7.7862,                 4.6509,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.5715,                 2.5187,                 1.8424,                0.00013,                0.01515,                 0.0001,                  2e-05,                 3.1899,                 7.3182,                  5.061,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.5675,                 2.5143,                 1.8448,                0.00093,                 0.0039,                 0.0005,                  5e-05,                 4.7238,                 13.831,                 6.4889,              0.0008218,              0.0008218,              0.0008218
                     21,                  1.543,                 2.4655,                 1.8217,                0.01111,                0.28825,                 0.0141,                0.00388,                 3.2198,                 5.2853,                 4.7961,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.5407,                 2.4464,                 1.8135,                0.01835,                 0.0016,                0.00925,                0.00093,                 3.9678,                 7.1686,                 6.3713,               0.000802,               0.000802,               0.000802
                     23,                 1.5396,                 2.4253,                 1.8117,                  1e-05,                0.00102,                      0,                      0,                 3.1656,                 27.636,                 4.1133,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.5183,                 2.3872,                 1.7857,                0.00138,                0.08285,                  0.001,                0.00017,                 4.9377,                 8.3498,                 12.976,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.5077,                 2.3596,                 1.7833,                0.00138,                0.08285,                  0.001,                0.00017,                 3.8265,                 8.7127,                 5.1879,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.5198,                 2.3584,                 1.7941,                  4e-05,                0.00073,                  2e-05,                      0,                  4.152,                 7.8547,                 6.3314,              0.0007624,              0.0007624,              0.0007624
                     27,                  1.512,                 2.3222,                 1.7774,                0.45509,                0.01338,                0.00056,                0.00014,                 3.5359,                 6.1449,                 4.4649,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.4941,                 2.3197,                 1.7736,                0.64096,                0.01091,                 0.0067,                0.00298,                 3.6803,                 6.9034,                 4.4615,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.4855,                  2.265,                 1.7625,                      0,                0.00364,                      0,                      0,                  3.403,                 90.911,                 4.8839,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.4887,                 2.2596,                 1.7676,                  1e-05,                0.00409,                  1e-05,                      0,                 4.3388,                    inf,                 6.9177,              0.0007228,              0.0007228,              0.0007228
                     31,                 1.4583,                 2.2521,                 1.7439,                  1e-05,                0.00409,                  1e-05,                      0,                 5.4629,                 7.6566,                 6.8417,              0.0007129,              0.0007129,              0.0007129
                     32,                 1.4645,                 2.1883,                 1.7457,                0.00039,                0.00437,                0.00022,                  5e-05,                 3.4525,                 7.5916,                  5.021,               0.000703,               0.000703,               0.000703
                     33,                 1.4707,                 2.2134,                 1.7454,                0.00416,                0.12561,                0.00389,                0.00099,                 3.4534,                 5.6203,                   4.84,              0.0006931,              0.0006931,              0.0006931
                     34,                  1.447,                  2.153,                 1.7261,                0.00416,                0.12561,                0.00389,                0.00099,                 4.9935,                  30.36,                 7.3912,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.4397,                 2.1413,                 1.7188,                0.00363,                0.12991,                 0.0024,                0.00106,                 4.9702,                 14.683,                 8.2958,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.4429,                 2.1138,                 1.7199,                0.00157,                0.17695,                 0.0027,                0.00076,                 3.4617,                 6.8327,                 6.1954,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.4384,                 2.1199,                 1.7077,                      0,                0.00087,                      0,                      0,                 5.8477,                 38.835,                 7.6778,              0.0006535,              0.0006535,              0.0006535
                     38,                  1.406,                 2.0428,                 1.6882,                  3e-05,                0.02182,                 0.0001,                  2e-05,                 4.0767,                 8.9274,                 5.4488,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.4377,                  2.112,                 1.7144,                  3e-05,                0.02182,                 0.0001,                  2e-05,                 5.4695,                 7.8066,                 7.7829,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.4227,                 2.0692,                 1.6958,                0.29104,                0.03832,                0.00673,                0.00298,                 2.9243,                 37.653,                 4.0779,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.4197,                 2.0461,                 1.6969,                0.10427,                0.00204,                0.00098,                0.00052,                 4.4292,                 8.2444,                 6.1097,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.4117,                 2.0087,                  1.686,                  4e-05,                0.00606,                  2e-05,                      0,                 4.9081,                 7.9075,                 6.7026,               0.000604,               0.000604,               0.000604
                     43,                 1.4119,                 2.0286,                 1.6889,                  4e-05,                0.00606,                  2e-05,                      0,                 4.5301,                 308.65,                 6.1258,              0.0005941,              0.0005941,              0.0005941
                     44,                  1.406,                 2.0062,                 1.6804,                  0.182,                0.00125,                0.00014,                  4e-05,                 4.4405,                 7.2721,                 6.0993,              0.0005842,              0.0005842,              0.0005842
                     45,                    1.4,                 2.0082,                 1.6732,                0.00162,                0.03797,                0.00119,                0.00026,                 3.1041,                 6.8367,                 4.1189,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.3831,                  1.981,                 1.6594,                0.00162,                0.03797,                0.00119,                0.00026,                 5.3312,                 10.255,                 6.0387,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.3726,                  1.966,                 1.6572,                0.37772,                0.03985,                0.00807,                0.00315,                 3.3122,                 6.2453,                 5.2871,              0.0005545,              0.0005545,              0.0005545
                     48,                  1.395,                 1.9752,                 1.6647,                0.00031,                0.00594,                0.00016,                  3e-05,                 4.0768,                 7.6581,                 4.8035,              0.0005446,              0.0005446,              0.0005446
                     49,                 1.3898,                  1.952,                 1.6616,                0.00039,                0.00102,                  8e-05,                  2e-05,                 4.8841,                 9.7397,                 6.3945,              0.0005347,              0.0005347,              0.0005347
